id;judul_buku;penulis;penerbit
256;Internet of things (IOT): mengubah wajah pendidikan indonesia# Nurhidayati;Nurhidayati ;Andi
257;Strategi manajemen risiko bank# Strategi;Strategi ;Gramedia Pustaka Utama 
258;Memahami: majelis pengawas notaris (MPN) dan majelis kehormatan notaris (MKN)# Habib Adjie;Habib Adjie ;Refika Aditama
259;Akad bank syariah# R. Daeng Naja;R. Daeng Naja ;Pustaka Yustisia 
260;Penyusunan standar pelayanan publik# Sampara Lukman;Sampara Lukman ;Remaja Rosdakarya
261;Sistem informasi pelayanan publik# Reydonnyzar Moenek;Reydonnyzar Moenek ;Remaja Rosdakarya 
262;Organisasi dan kepemimpinan positif# Organisasi;Organisasi ;Prenada 
263;Gizi kesehatan reproduksi: buku saku bidan# La Banudi;La Banudi ;EGC 
264;Pengembangan kurikulum: teori, catatan kritis, dan panduan# Anselmus JE Toenlioe;Anselmus JE Toenlioe ;Refika Aditama
265;Menulis makalah dan artikel# Imam Suyitno;Imam Suyitno ;Refika Aditama
266;Ritel: pengelolaan dan pemasaran# Ritel;Ritel ;Alfabeta 
267;Forum konsultasi publik# Reydonnyzar Moenek;Reydonnyzar Moenek ;Remaja Rosdakarya 
268;Psikologi kespro wanita & perkembangan reproduksinya: ditinjau dari aspek fisik dan psikologi# Namora Lumongga Lubis;Namora Lumongga Lubis ;Prenadamedia Group 
269;analisa dan perancangan sistem informasi# Eva Argarini Pratama;Eva Argarini Pratama ;Deepublish 
270;Aspek hukum penyelenggaraan administrasi publik di indonesia# Dinoroy Marganda Aritonang;Dinoroy Marganda Aritonang ;Refika Aditama 
271;Polilitik hukum kontemporer: covid dan normal baru hukum# Rio Christiawan;Rio Christiawan ;RajaGrafindo Persada 
272;Sistem peradilan pidana di indonesia# Kadri Husin;Kadri Husin ;Sinar Grafika 
273;Media baru: sebuah pengantar# Jandy Luik;Jandy Luik ;Kencana
274;Pengantar public relations kontemporer# Suwatno;Suwatno ;Remaja Rosdakarya
275;Filsafat ilmu dan metodologi penelitian# Soetriono;Soetriono ;Andi
276;Membuat aplikasi mobile native dengan javascript by nativescript# Kang Cahya;Kang Cahya ;Lokomedia
277;Buku pintar drafter: dengan aplikasi autocad, sketchup, archicad, 3DS max# Widada;Widada ;Mediakom
278;Lebih mahir dengan microsoft word 2019: membantu menulis dokumen, laporan, karya tulis ilmiah, skripsi hingga buku# Edi S. Mulyanta;Edi S. Mulyanta ;Andi 
279;Pengantar antropologi# Intan Permata Sari;Intan Permata Sari ;Pustaka Pelajar 
280;Arsitektur hijau dalam inovasi kota# Arif Kusumawanto;Arif Kusumawanto ;Gadjah Mada University Press 
281;Cloud computing: manajemen dan perencanaan kapasitas# Riko Herwanto;Riko Herwanto ;Andi
282;Logika scientifika: pengantar dialektika dan ilmu# W. Poespoprodjo;W. Poespoprodjo ;Pustaka Setia
283;Kinda advanced machine learning projects# Muhammad Ardi Putra;Muhammad Ardi Putra ;Gava Media
284;Penyusunan skala psikologi# Ahmad Saifuddin;Ahmad Saifuddin ;Kencana
285;Hacking Password: mengungkap teknik hacking paling ampuh dalam membajak akun facebook, email, YM, paypal, dan sebagainya# Hasnul Arifin;Hasnul Arifin ;Mediakom
286;Industri produk hilir kelapa sawit# Tien R. Muchtadi;Tien R. Muchtadi ;Alfabeta 
287;Aspek-aspek hukum perdata internasional: dalam perkara-perkara kepailitan# Mutiara Hikmah;Mutiara Hikmah ;Refika Aditama
288;Merancang rak buku kreatif# Wirania Swasty;Wirania Swasty ;Penebar Swadaya 
289;"Manajemen strategis praktis: cara menerapkan pemikiran strategis dalam bisnis# Eiichi ""Eric"" Kasahara";"Eiichi ""Eric"" Kasahara ";Lautan Pustaka
290;Inspirasi interior apartemen simpel dan kompak: ragam inspirasi penataan ruang apartemen yang sempit menjadi nyaman dihuni# Astrid Kusumowidagdo;Astrid Kusumowidagdo ;Griya Kreasi 
291;Penyidikan tindak pidana kasus tanah dan bangunan# Aloysius Mudjiyono;Aloysius Mudjiyono ;Pustaka Yustisia 
292;Teknik digital: teori, contoh soal, & aplikasi# Jaenal Arifin;Jaenal Arifin ;Andi 
293;Interior design visual presentation: a guide to graphics, models & presentation techniques# Maureen Mitton;Mitton, Maureen ;Wiley
294;Etika pers, bahasa jurnalistik, dan berita pemilu# Priyambodo RH;Priyambodo RH ;Lembaga Pers 
295;Mobile web programming: html5, css3, iQuery mobile# Eko Priyo Utomo;Eko Priyo Utomo ;Andi
296;Manajemen modal insani: strategi menggerakkan pertumbuhan saat disrupsi dan pasca-pandemi# Willy Susilo;Willy Susilo ;Andi
297;Pengantar ilmu administrasi negara# Muhammad;Muhammad ;Unimal Prrss
298;Cara instan menguasai pemrograman website secara otodidak# Heri Hidayat;Heri Hidayat ;Agogos Publishing
299;Mudah dan cepat menguasai aplikasi komputer# Bernard Renaldy Suteja;Bernard Renaldy Suteja ;Informatika
300;Algoritma dan pemrograman# Lamhot Sitorus;Lamhot Sitorus ;Andi
